adt_protein	cytof_name
CD35	CD35
CD357-GITR	CD357-GITR
CD36-1	CD36-1
CD360-IL-21R	CD360-IL-21R
CD366-Tim-3	CD366-Tim-3
CD370-CLEC9A-DNGR1	CD370-CLEC9A-DNGR1
CD38-1	CD38
CD3	CD3
CD4-1	CD4
CD40-1	CD40-1
CD41	CD41
CD44-1	CD44-1
CD45RA	CD45RA
CD45RO	CD45RO
CD47-1	CD47-1
CD49B	CD49B
CD49D	CD49D
CD49F	CD49F
CD5-1	CD5-1
CD52-1	CD52-1
CD54	CD54
CD58-LFA-3	CD58-LFA-3
CD62L	CD62L
CD62P-P-Selectin	CD62P-P-Selectin
CD64	CD64
CD66B	CD66B
CD69-1	CD69
CD7-1	CD7-1
CD70-1	CD70-1
CD71	CD71
CD73-Ecto-5-nucleotidase	CD73-Ecto-5-nucleotidase
CD79-IgB	CD79-IgB
CD80-1	CD80-1
CD81-TAPA-1	CD81-TAPA-1
CD82-1	CD82-1
CD83-1	CD83-1
CD85J-ILT2	CD85J-ILT2
CD86-1	CD86-1
CD88-C5aR	CD88-C5aR
CD8	CD8
CD90-Thy1	CD90-Thy1
CD94	CD94
CD95-FAS	CD95-FAS
CD96-TACTILE	CD96-TACTILE
CD98	CD98
CD99-1	CD99
CD66A-C-E	CD66
CLEC12A-1	CLEC12A-1
CX3CR1-1	CX3CR1
DR3-TRAMP	DR3-TRAMP
CD39	CD39
FcERIA	FcERIA
CD16	CD16
GARP-LRRC32	GARP-LRRC32
HLA-A-B-C	HLA-A-B-C
HLA-A2	HLA-A2
HLA-DR	HLA-DR
HLA-F-1	HLA-F-1
Ig-Light-Chain-K	Ig-Light-Chain-K
Ig-Light-Chain-L	Ig-Light-Chain-L
IgA	IgA
IgD	IgD
IgG-Fc	IgG
IgM	IgM
CD25	CD25
CD123	CD123
CD127-IL-7RA	CD127
CD103-Integrin-AE	CD103
CD11C	CD11c
ITGB7-1	ITGB7-1
CD161	CD161
KLRG1-MAFA	KLRG1
LOX-1	LOX-1
Mac-2-Galectin-3	Mac-2-Galectin-3
Mouse-IgG1-Isotype-Control	Mouse-IgG1-Isotype-Control
Mouse-IgG2a-Isotype-Control	Mouse-IgG2a-Isotype-Control
Mouse-IgG2b-Isotype-Control	Mouse-IgG2b-Isotype-Control
CD20	CD20
CD56-NCAM	CD56
NLRP2-1	NLRP2-1
CD279-PD-1	PD-1
Podocalyxin	Podocalyxin
Podoplanin	Podoplanin
CD45	CD45
Rat-IgG2b-Isotype-Control	Rat-IgG2b-Isotype-Control
Tau-Phospho-Thr181	Tau-Phospho-Thr181
TCR-A-B	TCR-A-B
TCR-G-D	TCR-G-D
TCR-VA24-JA18-iNKT-cell	TCR-VA24-JA18-iNKT-cell
TCR-VB13.1	TCR-VB13.1
TCR-VG9	TCR-VG9
CD141-Thrombomodulin	CD141
TIGIT-VSTM3	TIGIT-VSTM3
TCR-VA7.2	Va7-2
TCR-VD2	Vd2
TSLPR-CRL2	TSLPR-CRL2
XCR1-1	XCR1-1
